id,genero_inscriptor,localidad,id_provincia,provincia,region,sector,rubro,sub_rubro,tipo_de_emprendimiento,etapa_de_desarrollo_del_proyecto,monto_otorgado
128,Masculino,Villa Allende,14,Cordoba,Pampeana,Industria manufacturera,Curtido y terminacion de cueros; fabricacion de articulos de marroquineria y talabarteria,"Fabricacion de maletas, bolsos de mano y similares, articulos de talabarteria y articulos de cuero n.c.p.",Servicio,Funcional con Ingresos,175000
129,Masculino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plastico, etc.)",Producto,Concepto / Idea ,249580
130,Femenino,Corrientes,18,Corrientes,Noreste,Industria manufacturera,Fabricacion de productos textiles n.c.p.,Fabricacion de productos textiles n.c.p.,Servicio,Escalabilidad,249681
131,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios para la practica deportiva,Servicios para la practica deportiva n.c.p.,Producto,Concepto / Idea ,248654
132,Femenino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Actividades administrativas y servicios de apoyo,Servicios de apoyo a la administracion de oficinas y empresas,Servicios combinados de gestion administrativa de oficinas,Producto,Prototipo en Desarrollo,244919
133,Masculino,Villa Maria,14,Cordoba,Pampeana,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de ropa de trabajo, uniformes y guardapolvos",Producto,Funcional con Ingresos,249770
134,Masculino,Carolina,74,San Luis,Cuyo,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Servicio,Concepto / Idea ,250000
135,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de juegos y juguetes,Fabricacion de juegos y juguetes,Servicio,Prototipo en Desarrollo,250000
136,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Enseñanza,Servicios de enseñanza n.c.p.,"Servicios de enseñanza n.c.p. (incluye instruccion impartida mediante programas de radio, television, correspondencia y otros medios de comunicacion, escuelas de manejo, actividades de enseñanza a domicilio y/o particulares, etc.)",Producto,Concepto / Idea ,249260
137,Masculino,San Jeronimo Sud,82,Santa Fe,Pampeana,Industria manufacturera,Fabricacion de productos elaborados de metal n.c.p.; servicios de trabajo de metales,Fabricacion de productos elaborados de metal n.c.p.,Producto,Funcional con Ingresos,248500
138,Masculino,Rawson,70,San Juan,Cuyo,Servicios de alojamiento y servicios de comida,Servicios de expendio de comidas y bebidas,Servicios de expendio de comidas y bebidas en establecimientos con servicio de mesa y/o en mostrador n.c.p.,Servicio,Funcional con Ingresos,229964
139,Masculino,La Leonesa,22,Chaco,Noreste,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Concepto / Idea ,249490
140,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel",Confeccion de prendas deportivas,Producto,Prototipo en Desarrollo,247025
141,Masculino,San Miguel de Tucuman,90,Tucuman,Noroeste,Industria manufacturera,Industrias manufactureras n.c.p.,"Industrias manufactureras n.c.p. (incluye fabricacion de paraguas, termos, pelucas, etc.)",Producto,Funcional con Ingresos,238395
142,Masculino,Almirante Brown,6,Buenos Aires,Pampeana,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas,"Venta al por mayor de alimentos, bebidas y tabaco","Venta al por mayor de frutas, legumbres y cereales secos y en conserva",Servicio,Prototipo en Desarrollo,240000
143,Masculino,San Isidro,6,Buenos Aires,Pampeana,Informacion y comunicaciones,"Procesamiento de datos, hospedaje y actividades conexas, portales <U+0093>web<U+0094>","Portales ""web""",Producto,Funcional con Ingresos,221990
144,Masculino,San Luis,74,San Luis,Cuyo,"Servicios profesionales, cientificos y tecnicos",Servicios de fotografia,Servicios de fotografia,Producto,Concepto / Idea ,250000
145,Femenino,Tres de Febrero,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de productos quimicos n.c.p.,"Fabricacion de colas, adhesivos, aprestos y cementos excepto los odontologicos obtenidos de sustancias minerales y vegetales",Producto,Funcional con Ingresos,250000
146,Masculino,Rosario,82,Santa Fe,Pampeana,Industria manufacturera,Elaboracion de aceites y grasas de origen vegetal,Elaboracion de aceites y grasas vegetales sin refinar,Producto,Prototipo en Desarrollo,249648
147,Masculino,Lujan,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de productos quimicos n.c.p.,"Fabricacion de cosmeticos, perfumes y productos de higiene y tocador",Producto,Funcional con Ingresos,250000
148,Femenino,Hermoso Campo,22,Chaco,Noreste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",Producto,Funcional con Ingresos,249760
149,Masculino,Rivadavia,70,San Juan,Cuyo,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Servicio,Prototipo en Desarrollo,250000
150,Masculino,Loberia,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de productos elaborados de metal n.c.p.; servicios de trabajo de metales,Fabricacion de productos elaborados de metal n.c.p.,Producto,Funcional con Ingresos,235545
151,Masculino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Servicio,Prototipo en Desarrollo,240000
152,Femenino,Moron,6,Buenos Aires,Pampeana,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de ropa interior, prendas para dormir y para la playa",Producto,Funcional sin Ingresos,250000
153,Masculino,Cordoba,14,Cordoba,Pampeana,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas,"Venta al por mayor de maquinas, equipo y materiales conexos","Venta al por mayor de equipos, perifericos, accesorios y programas informaticos",Producto,Prototipo en Desarrollo,250000
154,Femenino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,Elaboracion de pastas alimentarias frescas,Servicio,Escalabilidad,249898
155,Femenino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Impresion y servicios relacionados con la impresion,Servicios relacionados con la impresion,Producto,Funcional sin Ingresos,125450
