id,genero_inscriptor,localidad,id_provincia,provincia,region,sector,rubro,sub_rubro,tipo_de_emprendimiento,etapa_de_desarrollo_del_proyecto,monto_otorgado
24,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de articulos de deporte,"Fabricacion de articulos de deporte (incluye equipos de deporte para gimnasia y campos de juegos, equipos de pesca y ""camping"", etc., excepto indumentaria deportiva: 141040)",Producto,Funcional sin Ingresos,247180
25,Masculino,San Pablo y Villa Nougues,90,Tucuman,Noroeste,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional sin Ingresos,229564
26,Masculino,San Gregorio,82,Santa Fe,Pampeana,"Agricultura, ganaderia, caza, silvicultura y pesca",Cultivos temporales,"Cultivo de hortalizas de hoja y de otras hortalizas frescas(incluye acelga, apio, coles, espinaca, lechuga, perejil, radicheta, repollo, etc.)",Producto,Funcional con Ingresos,237702
27,Masculino,San Miguel de Tucuman,90,Tucuman,Noroeste,Industria manufacturera,Fabricacion de productos de plastico,"Fabricacion de productos plasticos en formas basicas y articulos de plastico n.c.p., excepto muebles",Producto,Funcional sin Ingresos,244075
28,Masculino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,Fabricacion de productos textiles n.c.p.,Fabricacion de productos textiles n.c.p.,Producto,Prototipo en Desarrollo,228000
29,Masculino,Las Heras,50,Mendoza,Cuyo,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Servicio,Funcional con Ingresos,249750
30,Femenino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,Fabricacion de productos textiles n.c.p.,Fabricacion de productos textiles n.c.p.,Producto,Funcional con Ingresos,172750
31,Femenino,Salta,66,Salta,Noroeste,Industria manufacturera,"Elaboracion de productos de molineria, almidones y productos derivados del almidon",Elaboracion de alimentos a base de cereales,Servicio,Prototipo en Desarrollo,248170
32,Masculino,La Plata,6,Buenos Aires,Pampeana,"Servicios profesionales, cientificos y tecnicos",Servicios de arquitectura e ingenieria y servicios tecnicos n.c.p.,"Servicios relacionados con la construccion. (incluye los servicios prestados por ingenieros, arquitectos y tecnicos)",Servicio,Concepto / Idea ,249381
33,Masculino,Concepcion,90,Tucuman,Noroeste,Industria manufacturera,Industrias manufactureras n.c.p.,"Fabricacion de carteles, señales e indicadores -electricos o no-",Producto,Funcional con Ingresos,195204
34,Femenino,Rio Cuarto,14,Cordoba,Pampeana,Industria manufacturera,Servicios industriales para la elaboracion de alimentos y bebidas,Servicios industriales para la elaboracion de alimentos y bebidas (incluye procesos y operaciones que permiten que el producto alimenticio y las bebidas esten en estado higienico sanitario para consumo humano o para su utilizacion como materias primas de la industria.,Servicio,Concepto / Idea ,250000
35,Masculino,San Miguel de Tucuman,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores","Fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores n.c.p.",Producto,Funcional con Ingresos,245196
36,Masculino,Villa Maria,14,Cordoba,Pampeana,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de informatica n.c.p.,Producto,Funcional sin Ingresos,249962
37,Masculino,Neuquen,58,Neuquen,Patagonia,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios para la practica deportiva,"Servicios de organizacion, direccion y gestion de practicas deportivas en clubes (incluye clubes de futbol, golf, tiro, boxeo, etc.)",Producto,Prototipo en Desarrollo,248000
38,Masculino,Resistencia,22,Chaco,Noreste,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios de esparcimiento n.c.p.,Servicios de entretenimiento n.c.p.,Servicio,Funcional con Ingresos,248968
39,Femenino,Lujan de Cuyo,50,Mendoza,Cuyo,Servicios de alojamiento y servicios de comida,Servicios de preparacion de comidas para empresas y servicios de comidas n.c.p.,Servicios de comidas n.c.p.,Servicio,Concepto / Idea ,249750
40,Masculino,Almirante Brown,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de maquinaria y equipo de uso especial,Fabricacion de implementos de uso agropecuario,Producto,Funcional sin Ingresos,240990
41,Femenino,Lujan de Cuyo,50,Mendoza,Cuyo,Industria manufacturera,Servicios industriales para la industria confeccionista,"Servicios industriales para la industria confeccionista (incluye procesos de planchado y acondicionamiento de prendas: teñido, gastado a la piedra (stone wash), impermeabilizado, lavaderos y secaderos industriales, etc.)",Servicio,Concepto / Idea ,221104
42,Femenino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de papel y de productos de papel,Fabricacion de articulos de papel y carton n.c.p. (no incluye el papel de lija: 239900),Servicio,Funcional sin Ingresos,213650
43,Masculino,Villaguay,30,Entre Rios,Noreste,Servicio de transporte y almacenamiento,Servicios de almacenamiento y deposito,Servicios de almacenamiento y deposito n.c.p.,Producto,Prototipo en Desarrollo,249960
44,Masculino,Vicente Lopez,6,Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de hilos y cables aislados,Fabricacion de cables de fibra optica,Producto,Funcional con Ingresos,232196
45,Masculino,Venado Tuerto,82,Santa Fe,Pampeana,"Servicios profesionales, cientificos y tecnicos",Servicios de diseño especializado,"Servicios de diseño especializado (incluye diseño de indumentaria, diseño grafico, actividades de decoradores, etc.)",Producto,Funcional con Ingresos,50703
46,Femenino,La Plata,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion industrial de productos de panaderia, excepto galletitas y bizcochos (incluye la elaboracion de productos de panaderia frescos, congelados y secos)",Producto,Escalabilidad,232205
47,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plastico, etc.)",Producto,Prototipo en Desarrollo,194369
48,Femenino,San Juan,70,San Juan,Cuyo,Salud humana y servicios sociales,Servicios relacionados con la salud humana n.c.p.,"Servicios relacionados con la salud humana n.c.p. (incluye servicios de psicologos, fonoaudiologos, servicios de enfermeria, terapia ocupacional, bancos de sangre, de semen,etc.)",Producto,Concepto / Idea ,106800
49,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de consultores en informatica y suministros de programas de informatica,Producto,Concepto / Idea ,247300
50,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Salud humana y servicios sociales,Servicios relacionados con la salud humana n.c.p.,"Servicios relacionados con la salud humana n.c.p. (incluye servicios de psicologos, fonoaudiologos, servicios de enfermeria, terapia ocupacional, bancos de sangre, de semen,etc.)",Producto,Funcional sin Ingresos,250000
51,Masculino,Malargüe,50,Mendoza,Cuyo,Industria manufacturera,Fabricacion de productos minerales no metalicos n.c.p.,Fabricacion de mosaicos,Servicio,Funcional con Ingresos,249834
52,Masculino,Villa Maria,14,Cordoba,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,Elaboracion de galletitas y bizcochos,Producto,Escalabilidad,249900
53,Masculino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de comidas preparadas para reventa (incluye la elaboracion de comidas preparadas para reventa en supermercados, kioscos, cafeterias, etc.)",Producto,Funcional sin Ingresos,223039
54,Masculino,Loberia,6,Buenos Aires,Pampeana,Construccion,Terminacion de edificios,"Instalaciones de carpinteria, herreria de obra y artistica (incluye instalacion de puertas y ventanas, carpinteria metalica y no metalica, etc.)",Producto,Funcional con Ingresos,250000
55,Masculino,Villa Maria,14,Cordoba,Pampeana,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional sin Ingresos,249970
56,Masculino,Rio Grande,94,Tierra del Fuego,Patagonia,Industria manufacturera,Fabricacion de maquinaria y equipo de uso especial,Fabricacion de maquinaria y equipo de uso agropecuario y forestal,Servicio,Concepto / Idea ,249336
57,Femenino,Loberia,6,Buenos Aires,Pampeana,Salud humana y servicios sociales,Servicios sociales sin alojamiento,Servicios sociales sin alojamiento,Servicio,Concepto / Idea ,250000
58,Femenino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,Curtido y terminacion de cueros; fabricacion de articulos de marroquineria y talabarteria,"Fabricacion de maletas, bolsos de mano y similares, articulos de talabarteria y articulos de cuero n.c.p.",Producto,Funcional con Ingresos,165389
59,Femenino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Curtido y terminacion de cueros; fabricacion de articulos de marroquineria y talabarteria,"Fabricacion de maletas, bolsos de mano y similares, articulos de talabarteria y articulos de cuero n.c.p.",Servicio,Funcional con Ingresos,248018
60,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de informatica n.c.p.,Servicio,Prototipo en Desarrollo,250000
61,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Fabricacion de calzado y de sus partes,"Fabricacion de calzado de cuero, excepto calzado deportivo y ortopedico",Servicio,Funcional con Ingresos,194022
62,Masculino,Colonia Benitez,22,Chaco,Noreste,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, principalmente de madera",Producto,Funcional con Ingresos,238720
63,Femenino,Monteros,90,Tucuman,Noroeste,Industria manufacturera,Industrias manufactureras n.c.p.,"Industrias manufactureras n.c.p. (incluye fabricacion de paraguas, termos, pelucas, etc.)",Producto,Concepto / Idea ,249785
64,Masculino,San Juan,70,San Juan,Cuyo,Industria manufacturera,Instalacion de maquinaria y equipos industriales,Instalacion de maquinaria y equipos industriales,Servicio,Prototipo en Desarrollo,246377
65,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de comidas preparadas para reventa (incluye la elaboracion de comidas preparadas para reventa en supermercados, kioscos, cafeterias, etc.)",Producto,Concepto / Idea ,245560
66,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Fabricacion de productos textiles n.c.p.,Fabricacion de productos textiles n.c.p.,Producto,Funcional con Ingresos,247806
67,Masculino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,Industria manufacturera,Fabricacion de componentes electronicos,Fabricacion de componentes electronicos,Producto,Prototipo en Desarrollo,201896
68,Masculino,Cushamen,26,Chubut,Patagonia,"Agricultura, ganaderia, caza, silvicultura y pesca",Produccion de semillas y de otras formas de propagacion de cultivos agricolas,Produccion de semillas de cultivos agricolas n.c.p.,Servicio,Prototipo en Desarrollo,249482
69,Masculino,Yerba Buena,90,Tucuman,Noroeste,Industria manufacturera,"Fabricacion de productos de madera, corcho, paja y materiales trenzables",Fabricacion de hojas de madera para enchapado; fabricacion de tableros contrachapados; tableros laminados; tableros de particulas y tableros y paneles n.c.p. (incluye la fabricacion de madera terciada y machimbre),Producto,Funcional sin Ingresos,249245
70,Femenino,Cordoba,14,Cordoba,Pampeana,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas,Venta al por mayor de articulos de uso domestico y/o personal,"Venta al por mayor de manteleria, ropa de cama y articulos textiles para el hogar",Producto,Funcional con Ingresos,247980
71,Masculino,Tafi Viejo,90,Tucuman,Noroeste,Industria manufacturera,Fabricacion de productos elaborados de metal n.c.p.; servicios de trabajo de metales,Fabricacion de productos elaborados de metal n.c.p.,Servicio,Funcional con Ingresos,143360
72,Femenino,Loberia,6,Buenos Aires,Pampeana,"Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico","Captacion, depuracion y distribucion de agua","Captacion, depuracion y distribucion de agua de fuentes superficiales",Servicio,Concepto / Idea ,250000
73,Masculino,La Rioja,46,La Rioja,Cuyo,Industria manufacturera,Fabricacion de equipo medico y quirurgico y de aparatos ortopedicos,"Fabricacion de equipo medico y quirurgico y de aparatos ortopedicos n.c.p. (incluye protesis, aparatos ortopedicos, materiales para fracturas, etc.)",Producto,Prototipo en Desarrollo,249609
74,Masculino,Guaymallen,50,Mendoza,Cuyo,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de bebidas no alcoholicas n.c.p. (incluye los jugos para diluir o en polvo llamados ""sinteticos"" o de un contenido en jugos naturales inferior al 50%) (no incluye a los jugos naturales y sus concentrados, de frutas, hortalizas y legumbres - actividad 103020)",Producto,Concepto / Idea ,239983
75,Masculino,Rio Cuarto,14,Cordoba,Pampeana,Enseñanza,Servicios de enseñanza n.c.p.,"Enseñanza de gimnasia, deportes y actividades fisicas",Servicio,Funcional con Ingresos,250000
76,Femenino,Burruyacu,90,Tucuman,Noroeste,Industria manufacturera,Aserrado y cepillado de madera,Aserrado y cepillado de madera nativa,Producto,Escalabilidad,243100
77,Femenino,Laguna Blanca,34,Formosa,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,Elaboracion de pastas alimentarias frescas,Producto,Funcional con Ingresos,250000
78,Masculino,Formosa,34,Formosa,Noreste,Industria manufacturera,Elaboracion de alimentos preparados para animales,Elaboracion de alimentos preparados para animales,Producto,Escalabilidad,250000
79,Masculino,Rosario de Lerma,66,Salta,Noroeste,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional con Ingresos,249679
80,Masculino,Rosario,82,Santa Fe,Pampeana,Industria manufacturera,Fabricacion de productos textiles n.c.p.,"Fabricacion de articulos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",Producto,Funcional con Ingresos,250000
81,Femenino,Salta,66,Salta,Noroeste,Industria manufacturera,Fabricacion de juegos y juguetes,Fabricacion de juegos y juguetes,Servicio,Funcional con Ingresos,247796
82,Femenino,Villa Maria,14,Cordoba,Pampeana,Industria manufacturera,Fabricacion de productos textiles n.c.p.,"Fabricacion de articulos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",Producto,Funcional sin Ingresos,204923
83,Masculino,Corrientes,18,Corrientes,Noreste,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Producto,Prototipo en Desarrollo,121800
84,Masculino,Resistencia,22,Chaco,Noreste,Industria manufacturera,Fabricacion de muebles y colchones,"Fabricacion de muebles y partes de muebles, principalmente de madera",Producto,Funcional con Ingresos,102151
85,Masculino,Corrientes,18,Corrientes,Noreste,Informacion y comunicaciones,Servicios de programacion y consultoria informatica y actividades conexas,Servicios de informatica n.c.p.,Producto,Funcional con Ingresos,235549
86,Femenino,Moron,6,Buenos Aires,Pampeana,Industria manufacturera,"Fabricacion de joyas, <U+0093>bijouterie<U+0094> y articulos conexos",Fabricacion de joyas finas y articulos conexos,Producto,Prototipo en Desarrollo,249992
87,Masculino,Rosario,82,Santa Fe,Pampeana,Industria manufacturera,"Fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores","Fabricacion de partes, piezas y accesorios para vehiculos automotores y sus motores n.c.p.",Producto,Prototipo en Desarrollo,250000
88,Masculino,Laguna Yema,34,Formosa,Noreste,Industria manufacturera,Industrias manufactureras n.c.p.,"Industrias manufactureras n.c.p. (incluye fabricacion de paraguas, termos, pelucas, etc.)",Servicio,Concepto / Idea ,177000
89,Masculino,Loberia,6,Buenos Aires,Pampeana,"Servicios profesionales, cientificos y tecnicos","Actividades profesionales, cientificas y tecnicas n.c.p.","Actividades profesionales, cientificas y tecnicas n.c.p.",Producto,Funcional con Ingresos,250000
90,Masculino,Rawson,70,San Juan,Cuyo,Industria manufacturera,Fabricacion de productos de caucho,Fabricacion de productos de caucho n.c.p.,Servicio,Prototipo en Desarrollo,236200
91,Femenino,Corrientes,18,Corrientes,Noreste,Industria manufacturera,"Confeccion de prendas de vestir, excepto prendas de piel","Confeccion de ropa de trabajo, uniformes y guardapolvos",Producto,Escalabilidad,250000
92,Femenino,Ciudad Autonoma de Buenos Aires,2,Ciudad Autonoma de Buenos Aires,Pampeana,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios de esparcimiento n.c.p.,Servicios de entretenimiento n.c.p.,Producto,Prototipo en Desarrollo,250000
93,Femenino,Cordoba,14,Cordoba,Pampeana,Industria manufacturera,"Fabricacion de joyas, <U+0093>bijouterie<U+0094> y articulos conexos","Fabricacion de ""bijouterie"" ( i n c l u y e l a f a b r i c a c i o n de joyas de fantasia y accesorios similares)",Producto,Funcional con Ingresos,243011
94,Masculino,Bahia Blanca,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de productos alimenticios n.c.p.,"Elaboracion de productos alimenticios n.c.p. (incluye la elaboracion de polvos para preparar postres y gelatinas, levadura, productos para copetin, sopas, sal de mesa, mayonesa, mostaza, etc.)",Producto,Prototipo en Desarrollo,152890
95,Masculino,Santiago del Estero,86,Santiago del Estero,Noroeste,Industria manufacturera,"Fabricacion de hilados y tejidos, acabado de productos textiles",Fabricacion de hilados textiles de algodon y sus mezclas,Producto,Funcional con Ingresos,247277
96,Masculino,Cordoba,14,Cordoba,Pampeana,Industria manufacturera,Fabricacion de productos textiles n.c.p.,Fabricacion de productos textiles n.c.p.,Servicio,Funcional con Ingresos,250000
97,Masculino,Famailla,90,Tucuman,Noroeste,Servicios de asociaciones y servicios personales,Servicios personales n.c.p.,"Lavado y limpieza de articulos de tela, cuero y/o de piel, incluso la limpieza en seco",Servicio,Concepto / Idea ,225769
98,Masculino,Estacion Juarez Celman,14,Cordoba,Pampeana,Industria manufacturera,Fabricacion de maquinaria y equipo de uso especial,Fabricacion de maquinas herramienta,Producto,Prototipo en Desarrollo,231788
99,Masculino,Neuquen,58,Neuquen,Patagonia,"Servicios artisticos, culturales, deportivos y de esparcimiento",Servicios artisticos y de espectaculos,"Servicios conexos a la produccion de espectaculos teatrales y musicales (incluye diseño y manejo de escenografia, montaje de iluminacion y sonido, etc.)",Producto,Concepto / Idea ,249450
100,Masculino,Morteros,14,Cordoba,Pampeana,"Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico",Recuperacion de materiales y desechos,Recuperacion de materiales y desechos no metalicos,Producto,Funcional sin Ingresos,250000
101,Femenino,San Isidro,6,Buenos Aires,Pampeana,Industria manufacturera,Elaboracion de bebidas,"Elaboracion de cerveza, bebidas malteadas y malta",Producto,Funcional con Ingresos,250000
